1, 0, 0, 41
1, 3, 2, 80
7, 2, 3, 71
3, 1, 1, 132
7, 0, 2, 77
1, 0, 0, 47
2, 3, 1, 149
3, 1, 0, 140
5, 1, 1, 133
2, 3, 2, 68
4, 2, 2, 20
3, 1, 0, 112
6, 3, 3, 32
1, 1, 2, 27
3, 0, 3, 149
2, 2, 0, 31
5, 2, 2, 35
4, 2, 1, 41
3, 0, 1, 123
7, 1, 0, 131
5, 0, 2, 126
7, 1, 1, 37
1, 0, 3, 17
1, 1, 1, 81
2, 2, 3, 39
1, 2, 1, 125
6, 2, 2, 99
1, 2, 1, 58
1, 2, 2, 102
2, 1, 0, 58
7, 2, 1, 102
5, 1, 2, 117
3, 1, 1, 85
6, 1, 2, 34
4, 1, 1, 29
1, 2, 1, 139
2, 1, 2, 140
7, 3, 0, 18
4, 3, 2, 89
2, 1, 2, 106
2, 3, 1, 92
4, 2, 1, 121
5, 1, 0, 52
7, 3, 2, 114
6, 3, 2, 56
3, 3, 2, 12
2, 3, 0, 126
3, 2, 2, 127
6, 1, 3, 150
1, 1, 3, 19
6, 1, 3, 96
4, 3, 0, 94
3, 0, 3, 95
2, 3, 0, 57
5, 2, 0, 106
2, 1, 0, 18
2, 1, 2, 95
7, 2, 2, 125
7, 2, 2, 42
2, 1, 1, 129
5, 0, 2, 99
5, 3, 2, 126
5, 2, 1, 137
3, 2, 3, 147
7, 1, 2, 80
2, 2, 0, 95
5, 1, 2, 147
2, 2, 0, 97
4, 1, 0, 98
6, 2, 1, 60
5, 2, 1, 144
7, 1, 3, 100
4, 1, 2, 147
6, 2, 1, 143
1, 2, 2, 143
3, 2, 0, 92
1, 1, 3, 89
7, 3, 2, 148
7, 1, 0, 135
2, 2, 3, 132
5, 3, 0, 50
5, 2, 2, 127
6, 1, 3, 12
6, 2, 2, 87
4, 2, 2, 34
3, 2, 3, 40
6, 0, 1, 81
3, 1, 1, 97
5, 1, 2, 137
6, 3, 2, 39
7, 0, 1, 37
1, 3, 2, 131
6, 0, 2, 76
5, 3, 3, 48
2, 1, 2, 45
1, 1, 2, 25
6, 1, 2, 57
2, 3, 2, 48
6, 2, 2, 134
5, 2, 2, 67
7, 2, 0, 51
2, 0, 1, 141
2, 0, 1, 139
5, 1, 3, 17
2, 1, 0, 135
3, 2, 2, 131
5, 0, 1, 78
3, 2, 1, 49
4, 3, 1, 59
7, 3, 2, 138
6, 3, 2, 70
7, 1, 1, 141
3, 1, 2, 143
6, 3, 1, 68
2, 2, 2, 101
3, 1, 2, 109
5, 1, 1, 139
1, 3, 1, 62
5, 3, 1, 150
3, 0, 1, 58
1, 2, 3, 22
3, 2, 0, 113
2, 2, 2, 98
2, 3, 2, 17
1, 1, 0, 42
2, 0, 3, 101
4, 2, 1, 68
6, 3, 2, 43
5, 0, 3, 101
7, 0, 2, 38
7, 1, 1, 90
4, 3, 2, 112
1, 1, 3, 109
7, 3, 3, 142
3, 0, 1, 107
6, 2, 1, 27
3, 1, 1, 85
3, 3, 3, 53
5, 3, 2, 105
1, 1, 2, 130
2, 2, 1, 124
6, 2, 1, 100
2, 3, 1, 97
3, 1, 0, 53
6, 0, 0, 19
6, 1, 3, 118
3, 2, 2, 64
7, 0, 0, 142
4, 3, 1, 122
3, 1, 1, 142
