1, 0.19, 0.04, 56
1, 0.53, 0.74, 142
1, 0.22, 0.68, 147
1, 0.07, 0.89, 32
1, 0.57, 0.25, 135
1, 0.85, 0.29, 108
2, 0.47, 0.22, 16
2, 0.71, 0.9, 45
2, 0.84, 0.08, 84
2, 0.55, 0.46, 67
2, 0.76, 0.36, 96
2, 0.1, 0.76, 25
3, 0.21, 0.44, 132
3, 0.73, 0.96, 86
3, 0.93, 0.63, 19
3, 0.96, 0.62, 96
3, 0.56, 0.59, 111
3, 0.92, 0.55, 17
4, 0.23, 0.78, 50
4, 0.75, 0.41, 122
4, 0.87, 0.03, 67
4, 0.67, 0.34, 16
4, 0.27, 0.73, 98
4, 0.8, 0.89, 75
5, 0.31, 0.39, 76
5, 0.66, 0.59, 120
5, 0.12, 0.07, 114
5, 0.06, 0.48, 30
5, 0.68, 0.96, 13
5, 0.89, 0.55, 83
